"id","Project Name","Developer","Architect","Contractor","Possible Engineer","Location","Address","Territory","Groundbreaking Year","Completion Year","Article Title","Article Date","Scraped Date","Article Link","Article Summary","Milestone Mentions","Planned Mentions","Lead Score","Qualified","Justification"
,"K Park","Related Ross","","",,,"10400 Stribling Way, Wellington, FL","Broward / Palm Beach / Martin / St. Lucie","","","Rezoning application moving forward for K Park","2025-02-18","2025-12-03","https://floridayimby.com/2025/02/related-ross-seeks-rezoning-for-mixed-use-development-at-k-park-site-in-wellington.html","Rezoning application for 66.3-acre K Park site in Wellington by Related Ross for mixed-use development including residential, hotel, retail, restaurant, and school uses; land recently sold to Related Ross and ElevateEd; Planning and Zoning Board review upcoming; preliminary traffic study outlines project scope; no site plan filed yet.","Village of Wellington’s Planning and Zoning Board review on February 19, 2025; Village Council final approval later.","600 multifamily residential units, 150 hotel rooms, 250,000-square-foot shopping center, 82,478 square feet of restaurant space, private school for 1,200 students.",,"Yes","Confidence: 92 — A rezoning application is moving forward for the 66.3-acre K Park site at 10400 Stribling Way in Wellington, Palm Beach County, where Related Ross plans to develop a large-scale mixed-use project including 600 multifamily residential units, 150 hotel rooms, 250,000-square-foot shopping center, restaurant space, and a private school for 1,200 students. The Village of Wellington’s Planning and Zoning Board is set to review the proposed land use amendment on February 19, 2025, with Village Council approval required later, and no finalized site plan has been filed yet; the project remains contingent on rezoning and site plan approvals following recent land acquisition by Related Ross. Rezoning process combined with land acquisition and stated development intent for detailed mixed-use program indicates very early planning stage, typically 12-24 months before construction begins with no mechanical systems specified. Ideal early-stage opportunity for HVAC specification involvement before detailed engineering plans are developed."
,"801 NW 6th Street Mixed-Use Development","SJC Sistrunk LLC / Milton Jones Development","Cohen Freedman Encinosa & Associates","Jones Construction Co.",,,"801 NW 6th Street, Fort Lauderdale, FL","Broward / Palm Beach / Martin / St. Lucie","","approximately 2028","Local developer seeks $6M incentives for Sistrunk mixed-use project","2025-02-17","2025-12-03","https://floridayimby.com/2025/02/developer-seeks-6m-cra-incentive-for-121-unit-mixed-use-project-in-historic-sistrunk-neighborhood-in-fort-lauderdale.html","A local developer is seeking $6 million in incentives from the Fort Lauderdale CRA to develop a six-story mixed-use project with 121 apartments and 6,800 sq ft of retail on a site currently occupied by a shuttered gas station. The CRA board was set to review the request on February 18, 2025.","CRA Board review on February 18, 2025","30 months to complete if approved; maintain ownership for 5 years",,"Yes","Confidence: 92 — Article dated February 18, 2025, announces SJC Sistrunk LLC, led by Sean F. Jones of Milton Jones Development, seeking $6 million incentives from Fort Lauderdale Community Redevelopment Agency for six-story mixed-use development at 801 NW 6th Street in Historic Sistrunk neighborhood, featuring 121 apartments, 6,800 SF retail, and amenities. Cohen Freedman Encinosa & Associates is the architect, and Jones Construction Co. is the general contractor. CRA board review for incentives represents early planning and approval stage typically 12-24 months before construction, with 30-month completion timeline from approval (approximately 2028 from current date) indicating distant timeline before mechanical systems are specified. Ideal timing for early HVAC specification involvement during regulatory approval phase."
,"8445 SW 94th Street, Miami, FL","8445 Galloway LLC","Obras Studio","",,,"8445 SW 94th Street, Miami, FL","Dade / Monroe","","","","2025-02-19","2025-12-03","https://floridayimby.com/2025/02/miami-based-developer-proposes-complex-with-workforce-housing-at-8445-s-w-94th-st-miami-fl-33156.html","A Miami-based developer, 8445 Galloway LLC, has filed a pre-application for a six-story, 53,218 sq ft multi-family housing community at 8445 SW 94th St in Kendall, Miami, FL. The project includes 41 residences (10 workforce housing), 54 parking spots, and 1,291 sq ft commercial space. The 0.92-acre vacant site was acquired last year for $1.12M. Architect is Obras Studio. Near Baptist Hospital.","pre-application filed; land acquired last year","six-story apartment building; 41 residences (3 ground-floor, 15 one-bedroom lofts, 7 one-bedroom units, 16 two-bedroom units); 10 workforce housing units; 54 parking spots; 1,291 sq ft commercial space",,"Yes","Confidence: 95 — A Miami-based developer, 8445 Galloway LLC, filed a pre-application for a six-story apartment building with 41 residences and commercial space at 8445 SW 94th St in Kendall, Miami-Dade County. Coral Gables-based Obras Studio is the architect. Pre-application filing combined with recent land acquisition of the vacant site for stated development intent represents extremely early planning stage, typically 24-36 months before construction begins. No construction timeline mentioned, but early signals including architect selection indicate project has not finalized mechanical engineering plans. Ideal timing for HVAC specification discussions before detailed design work begins."
,"Isle of Dreams","Sunbeam 1400, LLC (Sunbeam Properties)","Arquitectonica","",,,"1400 79th Street Causeway, North Bay Village, FL","Dade / Monroe","","","Isle of Dreams Shoreline Development Review Application","2025-02-18","2025-12-03","https://floridayimby.com/2025/02/shoreline-review-application-submitted-for-39-story-isle-of-dreams-at-1400-79th-street-causeway-in-north-bay-village.html","A shoreline development review application has been submitted for Isle of Dreams, a 39-story mixed-use tower with 246 residential units, restaurant space, and waterfront promenade at 1400 79th Street Causeway in North Bay Village. Developed by Sunbeam 1400, LLC and designed by Arquitectonica, it seeks exceptions to Miami-Dade County shoreline criteria as part of the Sunbeam NBV Special Area Plan.","Shoreline development review application submitted; Seeking exceptions to shoreline setback, visual corridors, and side setbacks.","Planned 39-story mixed-use tower; First phase of Sunbeam NBV Special Area Plan; 246 residential units, restaurant space, publicly accessible waterfront promenade.",,"Yes","Confidence: 95 — A shoreline development review application has been submitted for Isle of Dreams, a 39-story mixed-use tower planned at 1400 79th Street Causeway in North Bay Village, Miami-Dade County. Developed by Sunbeam 1400, LLC, an affiliate of Sunbeam Properties, and designed by Arquitectonica, the project is the first phase of the Sunbeam NBV Special Area Plan approved in 2022. Shoreline development review application with Miami-Dade County represents early public approval stage, typically 12-18 months before construction begins. Official filing combined with named developer and architect creates elite early-stage opportunity for HVAC specification involvement before detailed mechanical engineering plans are finalized."
,"Haddon Hall Redevelopment","Keyah Real Estate Group","Rottet Studio","",,,"1509 Washington Avenue, Miami Beach, FL","Dade / Monroe","","","Miami Beach Planning Board Approves Haddon Hall Hotel Redevelopment","2025-02-21","2025-12-03","https://floridayimby.com/2025/02/miami-beach-city-officials-greenlight-hotel-redevelopment-at-1500-collins-avenue-miami-beach-fl.html","City of Miami Beach Planning Board and Historic Preservation Board approved redevelopment of Haddon Hall into seven-story, 262-room hotel by Keyah Real Estate Group with architect Rottet Studio. Involves partial demolition and new amenities including pools, spa, ballroom.","Planning Board and Historic Preservation Board approvals","seven-story 262-room hotel, two swimming pools, 10,000 SF spa, 6,500 SF ballroom, restaurant, event space",,"Yes","Confidence: 88 — The City of Miami Beach Planning Board and Historic Preservation Board unanimously approved Keyah Real Estate Group’s plans to redevelop Haddon Hall, a 1940s-era hotel, into a seven-story, 262-room hotel at 1509-1515 Washington Avenue and 1500 Collins Avenue in Miami Beach, Miami-Dade County. Houston-based Rottet Studio serves as architect, incorporating historic elements with new features including rooftop and ground-floor pools, 10,000 SF spa, 6,500 SF ballroom, restaurant, and event space. Planning and preservation board approvals represent early regulatory approval stage typically 12-18 months before construction, with no construction timeline or groundbreaking mentioned, indicating project has not advanced to mechanical engineering. Strong early-stage opportunity with named developer, architect, and detailed project specs before HVAC systems are specified."
,"1509-1515 Washington Avenue New Building","Keyah Real Estate Group and Grup Peralada","Rottet Studio","",,,"1509-1515 Washington Avenue, Miami Beach, FL","Dade / Monroe","","2028","Keyah Real Estate Group Unveils Plans for Boutique Hotel","2025-03-04","2025-12-03","https://floridayimby.com/2025/03/262-key-boutique-hotel-planned-for-miami-beachs-washington-and-collins-corridor-moves-forward-with-unanimous-approvals.html","Keyah Real Estate Group has unveiled plans for a 262-key boutique hotel involving renovation of Haddon Hall Hotel and a new building, with approvals secured, designed by Rottet Studio, featuring various amenities, slated for 2028 completion.","Secured approvals from City of Miami Beach Planning Board and Historic Preservation Board","rooftop pool and restaurant, Garden Oasis Pool, 6,500-square-foot ballroom and event space, 10,000-square-foot spa and wellness center, chef-driven restaurant",,"Yes","Confidence: 92 — Keyah Real Estate Group unveiled plans for a 262-key boutique hotel in Miami Beach, including renovating the historic Haddon Hall Hotel at 1500 Collins Avenue and constructing a new building at 1509-1515 Washington Avenue. The project, a joint venture with Grup Peralada and designed by Rottet Studio, has secured approvals from the City of Miami Beach Planning Board and Historic Preservation Board, and is slated for completion in 2028. Completion timeline of 2028 (three years from current date) indicates the project is in early planning phase with mechanical systems not yet specified, particularly for the new building construction requiring full HVAC design. Planning approvals and distant timeline create ideal window for early HVAC specification involvement before detailed engineering begins."
,"880 71st Street, Miami Beach, FL","Lefferts Development","","",,,"880 71st Street, Miami Beach, FL","Dade / Monroe","","","","2025-03-05","2025-12-03","https://floridayimby.com/2025/03/north-beachs-development-boom-gains-momentum-with-new-residential-and-mixed-use-projects.html","Article discusses redevelopment in North Beach, Miami Beach, highlighting Lefferts Development's four planned condominium projects including 72 Park, PALMA Miami Beach Residences, 72 Carlyle, and a newly proposed development at 880 71st Street, totaling over 450 units, amid other neighborhood projects.","","newly proposed development; planned four condominium projects",,"Yes","Confidence: 66 — Lefferts Development has planned four condominium projects in North Beach, Miami Beach, including a newly proposed development at 880 71st Street, which will introduce over 450 residential units total. The article describes this as a newly proposed development with no construction activity or timelines mentioned, indicating an early planning phase before mechanical systems are specified. While other projects in the article show more advanced stages, this specific proposed project by Lefferts qualifies as an early-stage opportunity ideal for HVAC specification involvement."
,"Lake Hills","Reader Communities","","Toll Brothers",,,"","Orlando","","","","2025-03-08","2025-12-03","https://floridayimby.com/2025/03/developer-acquires-220-acre-site-for-560-home-active-adult-community-in-howey-in-the-hills.html","Reader Communities has acquired a 220-acre site in Howey-in-the-Hills, Florida, for Lake Hills, a 560-home 55+ active adult community developed in partnership with Hillwood Communities, with homes built by Toll Brothers. The phased development includes resort-style amenities and waterfront access, with infrastructure work scheduled for 2025 and home sales in 2026.","Infrastructure work scheduled to begin in 2025; home sales expected to launch in 2026.","Phased development with Reader Communities managing infrastructure and land preparation before Toll Brothers acquires parcels for home construction and amenities.",,"Yes","Confidence: 0 — Project located in Howey-in-the-Hills, Florida (Lake County) which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"The HueHub (Holland Park)","27th Ave Hollandpark Ecoresidences LLC (Pablo Castro)","Arquitectonica","",,,"8400 NW 25th Avenue, Miami, FL","Dade / Monroe","","","Newly revised plans have been submitted for The HueHub, also known as Holland Park","2025-02-27","2025-12-03","https://floridayimby.com/2025/02/updated-plans-filed-for-the-huehub-a-4032-unit-live-local-development-in-west-little-river.html","Newly revised plans submitted for The HueHub/Holland Park, a mixed-use development featuring 4,032 residential units (40% workforce housing under 120% AMI), 20,083 SF retail, 11,470 SF medical offices, 3,068 SF police station, recreational center, and 5,046 parking spaces in two nine-story garages on 11.7 acres in West Little River, Miami-Dade County. Designed by Arquitectonica for developer 27th Ave Hollandpark Ecoresidences LLC, progressing through site plan review near planned Metrorail extension.","site plan review process","4,032 residential units (1,613 workforce housing), 20,083 SF retail, 11,470 SF medical offices, 3,068 SF police station, recreational community center, 5,046 parking spaces, 35-story towers up to 350 feet",,"Yes","Confidence: 93 — Newly revised plans have been submitted for The HueHub, also known as Holland Park, a large-scale mixed-use Live Local Act development at 8400 NW 25th Avenue in Miami-Dade County’s West Little River neighborhood. Designed by Arquitectonica and developed by 27th Ave Hollandpark Ecoresidences LLC led by Pablo Castro, the project includes 4,032 residential units with 40% workforce housing, commercial spaces, and two nine-story parking garages across 11.7 acres. The project continues to progress through the site plan review process, indicating an early planning stage typically 12-18 months before construction begins, before mechanical systems are specified. Ideal timing for early HVAC involvement during the regulatory review and design development phase."
,"59-Story Miami Riverfront Tower","Prosper Group","Brandon Haw Architecture with ODP Architecture & Design","",,,"66 SW 6th Street, Miami, FL","Dade / Monroe","","","Prosper Group in Contract to Acquire Miami River Sites for 59-Story Tower","2025-02-21","2025-12-03","https://floridayimby.com/2025/02/prosper-group-inks-contract-for-three-parcel-acquisition-near-brickell-city-centre-paving-way-for-59-story-riverfront-condo-tower.html","Prosper Group is under contract to buy sites along the Miami River adjacent to Brickell City Centre for a planned 59-story tower featuring 160 luxury condos and retail space, designed by Brandon Haw Architecture. Transaction to close Q1 2026.","Transaction closing in first quarter of 2026","Planned 59-story tower rising 720 feet with 160 luxury condominiums and 35,000 SF food and beverage retail",,"Yes","Confidence: 95 — Jay Roberts, CEO of Miami Beach-based Prosper Group, is in contract to acquire three prime parcels totaling one acre along the Miami River at 66 SW 6th Street and 625 SW 1st Avenue in Miami for a planned 59-story, 720-foot tower designed by Brandon Haw Architecture with ODP Architecture & Design. The project will include 160 luxury condominiums and 35,000 square feet of food and beverage retail space, with the transaction slated to close in Q1 2026. Land acquisition with explicit development intent, detailed project specifications, and named architects represents an extremely early entry point, typically 24-30 months before groundbreaking. Ideal timing for HVAC specification discussions before mechanical engineering plans are finalized."
,"Cedar River Station","Forestar Group","","",,,"Francis Road and West Edgewood Avenue, Jacksonville, FL","Outside Target Territories","","","Cedar River Station blueprints","2025-02-22","2025-12-03","https://floridayimby.com/2025/02/forestar-group-proposes-cedar-river-station-in-duval-county.html","Arlington-based Forestar Group has submitted site plans for Cedar River Station, a single-family housing development with 25 buildings totaling 182 residences on a 14-acre site in west Jacksonville. Also mentions Francis Pointe, an 88-unit townhome community.","submitted site plans","25 buildings with 4, 7, and 8 units each, 182 residences total; off Francis Road and West Edgewood Avenue",,"Yes","Confidence: 0 — Projects Cedar River Station and Francis Pointe located in Jacksonville, Duval County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"1000 Boulevard of the Arts","Kolter Urban","SB Architects","",,,"1000 Boulevard of the Arts, Sarasota, FL","Greater Tampa","","","","2025-02-24","2025-12-03","https://floridayimby.com/2025/02/1000-boulevard-of-the-arts-announced-in-sarasotas-waterfront-district.html","Kolter Urban has announced 1000 Boulevard of the Arts, a 20-story mixed-use development with 117 luxury condominiums and a Hyatt Centric Harborside hotel in Sarasota’s waterfront district. Designed by SB Architects, it features upscale residences, amenities, and hotel facilities.","","20-story mixed-use development set to bring 117 luxury condominiums and a Hyatt Centric® Harborside hotel",,"Yes","Confidence: 0 — Project located in Sarasota (Sarasota County) which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"Seville Mixed-Use Development","Seville General Partners","BC Architects","",,,"515 N. Federal Highway, Hallandale Beach, FL","Broward / Palm Beach / Martin / St. Lucie","","","Hallandale Beach’s Planning and Zoning Board to review proposal for mixed-use venture replacing trailer park","2025-02-23","2025-12-03","https://floridayimby.com/2025/02/city-officials-to-consider-rezoning-request-for-mixed-use-project-at-426-n-e-5th-street-hallandale-beach-fl.html","Hallandale Beach’s Planning and Zoning Board is set to review a rezoning proposal by Seville General Partners to redevelop the 8.5-acre Seville Mobile Home Park into a mixed-use project with 750 homes, retail, office space, and parking. Renderings by civil engineer Kimley-Horn show a 1.39 million sq ft complex designed by BC Architects. Approvals from City and County Commissions are required before construction.","Planning and Zoning Board (PZB) review upcoming; approvals needed from City Commission and County Commission","Rezoning change for residences, retail, and office space; new construction of 1.39 million sq ft",,"Yes","Confidence: 88 — Hallandale Beach’s Planning and Zoning Board intends to review a rezoning proposal by Seville General Partners to replace the 8.5-acre Seville Mobile Home Park with a 1.39 million square foot mixed-use development featuring 750 age-restricted residences, 25,206 square feet of retail, over 44,000 square feet of office space, and 1,550 parking spots, located at 515 N. Federal Highway and 426 N.E. 5th Street in Hallandale Beach, Broward County. BC Architects of Coral Gables designed the project, with civil engineering by Kimley-Horn. The rezoning request must be approved by the City Commission and County Commission before construction can start, placing the project in the early regulatory approval phase focused on zoning changes, typically 12-24 months before groundbreaking. This early-stage rezoning process combined with named developer, architect, and detailed project specifications creates a strong opportunity for HVAC specification involvement before mechanical engineering plans are finalized."
,"Mildred & Claude Pepper Tower","Related Urban Development Group (RUDG)","Cohen Freedman Encinosa & Associates Architects (CFE Architects)","",,,"750 NW 18th Terrace, Miami, FL","Dade / Monroe","","","Related Urban Development Group files to redevelop Mildred & Claude Pepper Tower","2025-03-05","2025-12-03","https://floridayimby.com/2025/03/developer-proposes-redevelopment-of-affordable-housing-community-at-750-nw-18th-terrace-miami-fl.html","Related Urban Development Group (RUDG) has filed documents to redevelop the 12-story Mildred & Claude Pepper Tower in Miami into a 14-story, 398-unit affordable senior housing tower with 300,000 sq ft of new construction under the Live Local Act, designed by CFE Architects.","Filed documents to redevelop under Live Local Act","Redevelop into 14-story tower with 398 apartments, co-working space, fitness center, outdoor areas",,"Yes","Confidence: 92 — Related Urban Development Group (RUDG) has filed documents to redevelop the existing Mildred & Claude Pepper Tower into a 14-story tower with 398 affordable apartments at 750 NW 18th Terrace, Miami, comprising close to 300,000 square feet of new construction designed by Cohen Freedman Encinosa & Associates Architects (CFE Architects). The project is filing under the Live Local Act for senior housing. Official filing for major redevelopment with significant new construction and named architect indicates early planning phase before mechanical and HVAC systems are specified. Ideal timing for early-stage HVAC involvement during design development."
,"Flagler Villas Phase 2","Related Urban Development Group","","",,,"5350 W Flagler St, Miami, FL","Dade / Monroe","","","Related Urban proposes second phase of Flagler Villas","2025-02-25","2025-12-03","https://floridayimby.com/2025/02/developer-seeks-funding-for-second-phase-of-flagler-villas-at-5350-w-flagler-st-miami-fl.html","Related Urban Development Group proposes the second phase of Flagler Villas, a 98-unit affordable senior apartment building at 5350 W Flagler St in Miami's Flagami neighborhood, replacing an existing office building. Miami officials to consider $5M funding. Phase 1 is under construction.","Phase 1 broke ground last month and under construction, completion Q3 2026","Phase 2: 98 one- and two-bedroom apartments for seniors at 30% AMI, amenities on ground floor",,"Yes","Confidence: 75 — Related Urban Development Group has proposed the second phase of Flagler Villas at 5350 W Flagler St in Miami's Flagami neighborhood, Miami-Dade County, consisting of 98 affordable apartments for seniors aimed at 30% AMI households, replacing an existing office building on a 28,920-square-foot lot. While the first phase broke ground last month and is under construction with completion expected Q3 2026, the second phase is newly proposed with Miami officials considering a $5 million award through the Miami Forever Bond. The proposal stage for phase 2 represents an early planning opportunity before mechanical engineering and HVAC systems are specified for this new multifamily construction. Ideal timing for early-stage HVAC specification involvement on the separate phase 2 building."
,"1414 Brickell","1414 Brickell, LLC","Arquitectonica","",,,"1414 Brickell, Miami, FL","Dade / Monroe","","","","2025-02-26","2025-12-03","https://floridayimby.com/2025/02/supertall-81-story-tower-at-1414-brickell-submitted-for-zoning-review-in-miami.html","Zoning application filed for 81-story mixed-use supertall at 1414 Brickell, Miami, designed by Arquitectonica, developed by 1414 Brickell, LLC. Includes residential, hotel, office, retail, and parking. Renderings show stacked design with sky gardens.","Zoning application filed on February 20","planned 81-story supertall",,"Yes","Confidence: 95 — A zoning application was recently filed with Miami-Dade County for the planned 81-story supertall at 1414 Brickell in Miami, designed by Arquitectonica and developed by 1414 Brickell, LLC with Walter Defortuna among stakeholders. The mixed-use skyscraper would rise 1,010 feet with 560 residential units, 84 hotel rooms, 145,950 square feet of office space, and retail. Zoning application under Rapid Transit Zoning (RTZ) represents early regulatory approval stage, typically 12-24 months before construction begins, before mechanical engineering plans are finalized. Named architect and developer combined with official filing create elite early-stage opportunity for HVAC specification discussions."
,"3930 North Ocean Drive, Riviera Beach, FL","HHC Singer Island LLC","","",,,"3930 North Ocean Drive, Riviera Beach, FL","Broward / Palm Beach / Martin / St. Lucie","","","","2025-02-26","2025-12-03","https://floridayimby.com/2025/02/developer-proposes-high-rise-residential-tower-for-3930-north-ocean-drive-riviera-beach-fl.html","HHC Singer Island LLC proposes a 20-story luxury condo tower with 52 units on a 3.3-acre oceanfront site in Riviera Beach, Palm Beach County, following demolition of a previous condo. The project features 188,950 sq ft, amenities like fitness center, pool, and padel courts.","","proposed a high-rise luxury tower...20-story development calls for approximately 188,950 square feet of new construction",,"Yes","Confidence: 76 — HHC Singer Island LLC has proposed a 20-story luxury tower offering 52 condos at 3930 North Ocean Drive in Riviera Beach, Palm Beach County. The 3.3-acre oceanfront site was previously cleared of an existing condo building, with the new development including 188,950 square feet of construction, parking, fitness center, pool, and other amenities. Proposal of new high-rise construction on owned and cleared site represents early planning stage before mechanical engineering and HVAC systems are specified. Land ownership with stated development intent creates ideal early-stage opportunity for HVAC involvement."
,"55 East 25th Street, Hialeah, FL","555 East 25th Street LLC","Modis Architects","",,,"55 East 25th Street, Hialeah, FL","Dade / Monroe","","","","2025-02-28","2025-12-03","https://floridayimby.com/2025/02/hialeah-officials-approve-eight-story-project-for-552-east-26th-street-hialeah-fl.html","Hialeah city officials approved a mixed-use project on 5.6 acres featuring an eight-story building with 559 apartments, 26,000 sq ft retail, and parking. Designed by Modis Architects for 555 East 25th Street LLC.","City officials greenlit the project","Eight stories above grade, 559 apartments (5% workforce housing), 26,000 sq ft retail, 835 parking spots",,"Yes","Confidence: 92 — Hialeah city officials have greenlit an eight-story mixed-use project at 55 East 25th Street and 502 to 552 East 26th Street in Hialeah, Miami-Dade County. The development includes 559 apartments (with 5% workforce housing), 26,000 square feet of retail, and 835 parking spaces, designed by Modis Architects for 555 East 25th Street LLC, operated by the founder of Leon Medical Centers. City approval of the project on mostly vacant land represents an early planning stage before mechanical systems are specified. No construction timeline mentioned, but approval process indicates ideal timing for early HVAC involvement before detailed engineering begins."
,"Blue Park","221 Developers LLC","Sklarchitecture","",,,"216, 220 and 228 S.E. 8th Street and 221 S.E. 9th Street, Hallandale Beach, FL","Broward / Palm Beach / Martin / St. Lucie","","","Four parcels comprising 1.47 acres could soon be transformed into a multi-family housing development in Hallandale Beach","2025-03-02","2025-12-03","https://floridayimby.com/2025/03/developer-proposes-blue-park-for-hallandale-beach-fl.html","221 Developers LLC proposes 'Blue Park,' an eight-story, 274,000 sq ft multi-family building with 185 homes on 1.47 acres in Hallandale Beach, replacing three single-family homes and a vacant lot. Includes amenities like fitness center, pool, and 228 parking spots. Architect Ari Sklar of Sklarchitecture. Sites under contract, estimated $40M cost, if approved.","If approved","Plans for “Blue Park” call for 185 homes; layout plans span studio to two-bedroom units, along with eight ground-floor “townhome-style units”",,"Yes","Confidence: 92 — 221 Developers LLC has proposed “Blue Park,” an eight-story multi-family residential building with 185 homes and 274,000 square feet on four parcels totaling 1.47 acres in Hallandale Beach, Broward County. Ari Sklar of Sklarchitecture is the architect, and the sites are currently under contract with project estimated at $40 million if approved. The proposal stage with 'if approved' language and no construction timeline indicates early planning phase before mechanical engineering and HVAC systems are specified. Ideal early-stage opportunity for HVAC involvement with named developer and architect."
,"Pembroke Oaks","Riking Enterprises V LLC","Austin Fox Architecture","",,,"5434 W. Hallandale Beach Blvd., Pembroke Park, FL","Broward / Palm Beach / Martin / St. Lucie","","","Developers have submitted the project under the Live Local Act","2025-03-07","2025-12-03","https://floridayimby.com/2025/03/developer-proposes-325-unit-pembroke-oaks-under-live-local-act-at-5434-w-hallandale-beach-blvd-pembroke-park-fl.html","Fort Lauderdale-based Austin Fox Architecture and Riking Enterprises V LLC have submitted Pembroke Oaks, a 582,950 sq ft residential complex with 325 units in three buildings (8, 10, 12 stories), under the Live Local Act at 5434 W. Hallandale Beach Blvd. in Pembroke Park, Broward County. Includes 40% affordable housing, rooftop pool, and preservation of oak trees on 7.1-acre site acquired in 2016.","Submitted under the Live Local Act; Broward County records reference","Three buildings with 325 residences (studio to two-bedroom, 500-1,100 sq ft); rooftop swimming pool; 418 parking spots; integration of half the oak trees",,"Yes","Confidence: 90 — Fort Lauderdale-based Austin Fox Architecture is working alongside Riking Enterprises V LLC on Pembroke Oaks, a multi-building residential complex submitted under the Live Local Act for approval in Pembroke Park, Broward County. The project comprises three buildings of 8, 10, and 12 stories with 325 residences totaling 582,950 square feet, including affordable housing units and amenities like a rooftop pool. Submission under the Live Local Act represents an early planning and approval stage, with no construction timeline mentioned indicating the project is prior to mechanical engineering finalization. Architect and developer named with detailed specifications create an elite early-stage opportunity for HVAC specification involvement before detailed design begins."
,"House of Wellness Hotel","North at Brickell VI LLC (affiliate of North Development)","McG Architecture","",,,"152 SW 9th St., Miami, FL","Dade / Monroe","","","","2024-10-04","2025-12-03","https://floridayimby.com/2024/10/developers-file-pre-application-for-wellness-hotel-at-132-sw-98th-st-miami-fl-33130.html","Developers have filed a pre-application for the 43-story House of Wellness Hotel in Miami-Dade County on a 0.6-acre site at 152 SW 9th St. The hotel would offer 823 units from levels 11-42, with parking on floors 2-9, lobby on ground floor, amenities on 10th, and rooftop pool. Site currently has office and apartments to be demolished. North at Brickell VI LLC has site under contract; McG Architecture designed it.","Pre-application filed","43-story hotel with 823 units, 339 parking spots, amenities, rooftop pool; demolition of existing buildings prior to construction",,"Yes","Confidence: 92 — Developers filed a pre-application for the 43-story House of Wellness Hotel at 152 SW 9th St., Miami, FL in Miami-Dade County. North at Brickell VI LLC, an affiliate of North Development, has the 0.6-acre site under contract for the project, which will include 823 hotel units, amenities, and parking. McG Architecture is the design firm. Pre-application filing combined with site under contract and planned demolition of existing office and apartments prior to construction indicates extremely early planning stage, typically 18-36 months before groundbreaking. No construction timeline mentioned, but early regulatory engagement creates ideal window for HVAC specification discussions before mechanical engineering begins."
,"161 Office","Lombardi Properties","Deforma Studio","",,,"161 NW 29th Street, Miami, FL","Dade / Monroe","","","Image from the Next Miami","2025-03-08","2025-12-03","https://floridayimby.com/2025/03/miami-based-developer-proposes-office-building-for-160-n-w-30th-street-miami-fl.html","Miami-based Lombardi Properties proposes 12-story office building '161 Office' at 161 NW 29th St and 160 NW 30th St in Miami, over 45,000 sq ft, designed by Deforma Studio, with Wynwood DRC to review proposal; site purchased last year, existing building to be demolished.","Wynwood’s Design Review Committee intends to hear the proposal on Tuesday.","proposed a high-rise office building...would measure 12 stories...would take shape...would offer office space",,"Yes","Confidence: 92 — Miami-based Lombardi Properties has proposed a 12-story high-rise office building called “161 Office” at 161 N.W. 29th Street and 160 N.W. 30th Street in Miami, Miami-Dade County. Deforma Studio designed the project, which includes over 45,000 square feet of office space with amenities like a fitness center, following demolition of an existing 1970s building on a recently acquired site. Wynwood’s Design Review Committee intends to hear the proposal soon, representing an early technical review stage typically 9-18 months before construction begins. Land acquisition with stated development intent, named architect, detailed project specs, and DRC review confirm this is an early planning phase before mechanical engineering and HVAC systems are specified, creating an ideal window for early intervention."
,"Grand Bahamas Place","Grove Prosperity Partners LLC","Borges Architects","",,,"3655 Grand Avenue, Miami, FL","Dade / Monroe","","","Grove Prosperity Partners LLC seeking funds for affordable housing in Coconut Grove","2025-03-09","2025-12-03","https://floridayimby.com/2025/03/developer-seeks-funding-for-affordable-housing-development-at-3650-florida-ave-miami-fl.html","Grove Prosperity Partners LLC is seeking funds for Grand Bahamas Place affordable housing development in Coconut Grove, including a five-story structure with 56 condos and a two-story building with retail and community space. Estimated cost $21.3 million, seeking $4.2 million from Miami Forever Bond. Site comprises three parcels at 3655 and 3659 Grand Ave., plus 3650 Florida Ave., Miami, FL. Designed by Borges Architects.","Seeking $4.2 million from Miami Forever Bond; under contract to purchase third parcel for $2.2 million.","Two buildings: five-story with 56 condos (400-650 sq ft, 1-2 bedrooms, up to 80% AMI); two-story with 2,950 sq ft retail and 4,000 sq ft religious/community space; nine parking spots.",,"Yes","Confidence: 92 — Grove Prosperity Partners LLC, comprising a church, non-profit, and developer, is seeking $4.2 million in funds from the Miami Forever Bond for Grand Bahamas Place, an affordable housing development at 3655 Grand Ave. in Coconut Grove, Miami, Miami-Dade County. The project features a five-story building with 56 affordable condos and a two-story building with retail and community space, designed by Borges Architects, with the developer owning two parcels and under contract for the third. Seeking funding and land acquisition under contract indicate very early planning stage, typically 24-30 months before construction, before mechanical systems are specified. Land acquisition with stated development intent, named architect, and specific project details represent an elite early-stage opportunity for HVAC specification involvement."
